Product Name,Quantity,Sell Price,Date Sold,Product Category,Unnamed: 5,Unnamed: 6,Unnamed: 7
Diatabs 2mg,2.0,20.0,29/07/2020,GASTRO DRUGS,,,
Baby Diapers (per piece),15.0,150.0,29/07/2020,BABY PRODUCTS,,,
Aceite De Manzanilla 15mL,2.0,20.0,29/07/2020,GALENICALS,,,
Alcohol 1gallon,1.0,650.0,29/07/2020,ALL MEDICAL SUPPLIES,,,
Thermometer,2.0,380.0,29/07/2020,ALL MEDICAL SUPPLIES,,,
Lagundi Tablet,2.0,14.0,29/07/2020,HERBAL MEDICINES,,,
Trust Pills 75mg,1.0,70.0,30/07/2020,CONTRACEPTIVES,,,
Ascorbic Acid 500mg,6.0,30.0,30/07/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Trust Condom,1.0,45.0,30/07/2020,CONTRACEPTIVES,,,
Toothbrush,1.0,15.0,30/07/2020,HYGIENE,,,
Biogesic 500mg,5.0,25.0,30/07/2020,PAIN RELIEVERS,,,
Ascorbic Acid 500mg,4.0,20.0,31/07/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Mefenamic Acid (generic),5.0,15.0,31/07/2020,PAIN RELIEVERS,,,
Cefuroxime Axetil 500mg,4.0,152.0,31/07/2020,ANTIBIOTICS,,,
Amoxicillin 500mg,10.0,50.0,31/07/2020,ANTIBIOTICS,,,
Mefenamic Acid (generic),10.0,30.0,31/07/2020,PAIN RELIEVERS,,,
Myra-E,4.0,56.0,31/07/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Toothbrush,2.0,30.0,31/07/2020,HYGIENE,,,
Bioflu 10mg/2mg/500mg,2.0,20.0,31/07/2020,PAIN RELIEVERS,,,
Agua Oxinada,1.0,15.0,31/07/2020,PAIN RELIEVERS,,,
Vicks VapoRub (small),1.0,32.0,31/07/2020,GALENICALS,,,
Biogesic 500mg,2.0,10.0,31/07/2020,PAIN RELIEVERS,,,
White Flower 1.5mL,1.0,30.0,31/07/2020,GALENICALS,,,
Baby Wipes,1.0,25.0,31/07/2020,BABY PRODUCTS,,,
Aceite De Manzanilla 15mL,1.0,15.0,31/07/2020,GALENICALS,,,
Alcohol 500mL,1.0,80.0,01/08/2020,ALL MEDICAL SUPPLIES,,,
Tuseran Forte,2.0,24.0,01/08/2020,RESPIRATORY,,,
Shampoo (Sachet),1.0,6.0,01/08/2020,HYGIENE,,,
Losartan 50mg,2.0,8.0,01/08/2020,ALL HYPERTENSION,,,
Biogesic 500mg,4.0,20.0,01/08/2020,PAIN RELIEVERS,,,
Diatabs 2mg,1.0,30.0,01/08/2020,GASTRO DRUGS,,,
Bioflu 10mg/2mg/500mg,2.0,20.0,01/08/2020,PAIN RELIEVERS,,,
Myra-E,2.0,28.0,01/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Cefuroxime Axetil 500mg,4.0,152.0,01/08/2020,ANTIBIOTICS,,,
AA Battery,2.0,14.0,01/08/2020,OTHERS,,,
Celecoxib 200mg,2.0,14.0,01/08/2020,PAIN RELIEVERS,,,
Kremil-S,1.0,9.5,01/08/2020,GASTRO DRUGS,,,
Alcohol 500mL,1.0,80.0,02/08/2020,ALL MEDICAL SUPPLIES,,,
Myra-E,2.0,28.0,02/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Tissue Roll,1.0,15.0,02/08/2020,HYGIENE,,,
Cefuroxime Axetil 500mg,2.0,76.0,02/08/2020,ANTIBIOTICS,,,
Mefenamic Acid (generic),3.0,9.0,02/08/2020,PAIN RELIEVERS,,,
Nipple (large),1.0,20.0,02/08/2020,BABY PRODUCTS,,,
Efficascent Oil 50 mL,1.0,53.0,02/08/2020,GALENICALS,,,
Baby Wipes,1.0,25.0,02/08/2020,BABY PRODUCTS,,,
Alcohol 500mL,1.0,80.0,02/08/2020,ALL MEDICAL SUPPLIES,,,
Biogesic 500mg,2.0,10.0,03/08/2020,PAIN RELIEVERS,,,
Shampoo (Sachet),1.0,6.0,03/08/2020,HYGIENE,,,
Mefenamic Acid (generic),4.0,12.0,03/08/2020,PAIN RELIEVERS,,,
Ascorbic Acid 500mg,10.0,50.0,03/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Amoxicillin 500mg,1.0,5.0,03/08/2020,ANTIBIOTICS,,,
Sanitex Maternity Pads,1.0,99.0,03/08/2020,ALL MEDICAL SUPPLIES,,,
Cefuroxime Axetil 500mg,6.0,228.0,03/08/2020,ANTIBIOTICS,,,
Tissue Roll,2.0,30.0,03/08/2020,HYGIENE,,,
Cotrimoxazole 480mg,2.0,10.0,03/08/2020,ANTIBIOTICS,,,
Tempra Syrup 1-5 years 60mL,1.0,108.0,04/08/2020,PEDIA BOTTLES,,,
Efficascent Oil Xtreme 50 mL,2.0,140.0,04/08/2020,GALENICALS,,,
Alcohol 500mL,1.0,80.0,04/08/2020,ALL MEDICAL SUPPLIES,,,
Tempra Drops 0-12 months 15mL,1.0,89.0,04/08/2020,PEDIA BOTTLES,,,
Mupirocin 20mg,1.0,159.0,04/08/2020,CREAM AND OINTMENTS,,,
Revicon Forte,7.0,49.0,04/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Diatabs 2mg,2.0,20.0,04/08/2020,GASTRO DRUGS,,,
Amoxicillin 500mg,4.0,20.0,04/08/2020,ANTIBIOTICS,,,
Johnson's Baby Oil 25mL,1.0,30.0,04/08/2020,BABY PRODUCTS,,,
Face Mask,10.0,100.0,05/08/2020,ALL MEDICAL SUPPLIES,,,
Mefenamic Acid Myrefren,1.0,49.0,05/08/2020,PAIN RELIEVERS,,,
Shampoo (Sachet),1.0,6.0,05/08/2020,HYGIENE,,,
Alcohol 500mL,1.0,80.0,05/08/2020,ALL MEDICAL SUPPLIES,,,
Katinko Ointment,1.0,35.0,05/08/2020,GALENICALS,,,
Biogesic 500mg,4.0,20.0,05/08/2020,PAIN RELIEVERS,,,
Bioflu 10mg/2mg/500mg,10.0,100.0,05/08/2020,PAIN RELIEVERS,,,
Tempra Syrup 1-5 years 60mL,1.0,108.0,05/08/2020,PEDIA BOTTLES,,,
Enervon,4.0,40.0,05/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Vicks VapoRub (small),1.0,32.0,05/08/2020,GALENICALS,,,
Alcohol 60mL,1.0,20.0,06/08/2020,ALL MEDICAL SUPPLIES,,,
Diatabs 2mg,1.0,10.0,06/08/2020,GASTRO DRUGS,,,
Medical Tape (medium),1.0,55.0,06/08/2020,ALL MEDICAL SUPPLIES,,,
Mefenamic Acid (generic),4.0,12.0,06/08/2020,PAIN RELIEVERS,,,
Cefalexin 500mg,2.0,16.0,06/08/2020,ANTIBIOTICS,,,
Face Shield,5.0,225.0,06/08/2020,ALL MEDICAL SUPPLIES,,,
Biogesic 500mg,4.0,20.0,06/08/2020,PAIN RELIEVERS,,,
Neozep,7.0,49.0,06/08/2020,RESPIRATORY,,,
Cetirizine 10mg,4.0,10.0,06/08/2020,ANTIHISTAMINES,,,
Kiddilet,2.0,10.0,07/08/2020,PAIN RELIEVERS,,,
Celecoxib 200mg,6.0,42.0,07/08/2020,PAIN RELIEVERS,,,
Losartan 50mg,6.0,24.0,07/08/2020,ALL HYPERTENSION,,,
Co-amoxiclav 625mg,6.0,120.0,07/08/2020,ANTIBIOTICS,,,
AA Battery,4.0,28.0,07/08/2020,OTHERS,,,
Neozep,3.0,21.0,07/08/2020,RESPIRATORY,,,
Johnson's Baby Powder White 25g,1.0,20.0,07/08/2020,BABY PRODUCTS,,,
Solmux,10.0,120.0,07/08/2020,RESPIRATORY,,,
Baby Diapers (per piece),1.0,10.0,07/08/2020,BABY PRODUCTS,,,
Vicks VapoRub (small),1.0,32.0,07/08/2020,GALENICALS,,,
Biogesic 500mg,17.0,85.0,07/08/2020,PAIN RELIEVERS,,,
Amoxicillin 500mg,1.0,5.0,07/08/2020,ANTIBIOTICS,,,
Mefenamic Acid (generic),1.0,3.0,07/08/2020,PAIN RELIEVERS,,,
Baby Feeding Bottle (large),1.0,70.0,07/08/2020,BABY PRODUCTS,,,
Ascorbic Acid 500mg,3.0,15.0,07/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Cetirizine 10mg,4.0,10.0,07/08/2020,ANTIHISTAMINES,,,
Enervon,5.0,50.0,07/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Hivent Salbutamol Ampoule 2.5mL,5.0,75.0,07/08/2020,RESPIRATORY,,,
Alcohol 60mL,1.0,20.0,07/08/2020,ALL MEDICAL SUPPLIES,,,
Toothbrush,1.0,15.0,07/08/2020,HYGIENE,,,
White Flower 1.5mL,1.0,30.0,07/08/2020,GALENICALS,,,
Medicol Advance 200mg,1.0,9.0,07/08/2020,PAIN RELIEVERS,,,
Cloud 9,1.0,10.0,07/08/2020,FOODS,,,
BL Cream,1.0,35.0,07/08/2020,CREAM AND OINTMENTS,,,
Tuseran Forte,4.0,48.0,07/08/2020,RESPIRATORY,,,
Hivent Salbutamol Ampoule 2.5mL,1.0,15.0,08/08/2020,RESPIRATORY,,,
Metoprolol 50mg/100mg,2.0,12.0,08/08/2020,ALL HYPERTENSION,,,
Salonpas Patch,2.0,20.0,08/08/2020,PAIN RELIEVERS,,,
Nipple (small),7.0,70.0,08/08/2020,BABY PRODUCTS,,,
Gauze (large),2.0,12.0,08/08/2020,ALL MEDICAL SUPPLIES,,,
Johnson's Baby Powder Pink 25g,1.0,20.0,08/08/2020,BABY PRODUCTS,,,
Kool Fever,2.0,70.0,08/08/2020,ALL MEDICAL SUPPLIES,,,
Hivent Salbutamol Ampoule 2.5mL,6.0,90.0,08/08/2020,RESPIRATORY,,,
Pharex Vit.B Complex,24.0,140.0,08/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Alcohol 500mL,1.0,95.0,08/08/2020,ALL MEDICAL SUPPLIES,,,
Toothpaste Sachet,1.0,6.0,08/08/2020,HYGIENE,,,
Medicol Advance 200mg,5.0,43.0,08/08/2020,PAIN RELIEVERS,,,
Aceite De Manzanilla 15mL,1.0,12.0,08/08/2020,GALENICALS,,,
Baby Diapers (per piece),1.0,10.0,08/08/2020,BABY PRODUCTS,,,
Cloxacillin 500mg,6.0,60.0,08/08/2020,ANTIBIOTICS,,,
Cloud 9,1.0,10.0,08/08/2020,FOODS,,,
Mefenamic Acid (generic),10.0,30.0,08/08/2020,PAIN RELIEVERS,,,
Alaxan FR 400mg,2.0,20.0,09/08/2020,PAIN RELIEVERS,,,
Omega 30 mL,1.0,40.0,09/08/2020,GALENICALS,,,
Amlodipine 10mg,2.0,16.0,09/08/2020,ALL HYPERTENSION,,,
Face Shield,5.0,250.0,09/08/2020,ALL MEDICAL SUPPLIES,,,
Mefenamic Acid (generic),9.0,27.0,09/08/2020,PAIN RELIEVERS,,,
Cefuroxime Axetil 500mg,4.0,152.0,09/08/2020,ANTIBIOTICS,,,
Diatabs 2mg,2.0,20.0,09/08/2020,GASTRO DRUGS,,,
Solmux,2.0,24.0,09/08/2020,RESPIRATORY,,,
Fiona Cologne,1.0,35.0,09/08/2020,COSMETICS,,,
Alaxan FR 400mg,1.0,10.0,09/08/2020,PAIN RELIEVERS,,,
Thermometer,1.0,139.0,09/08/2020,ALL MEDICAL SUPPLIES,,,
Salonpas Patch,2.0,20.0,09/08/2020,PAIN RELIEVERS,,,
Tuseran Forte,2.0,24.0,09/08/2020,RESPIRATORY,,,
BL Cream,1.0,35.0,10/08/2020,CREAM AND OINTMENTS,,,
Adult Diapers (small),1.0,25.0,10/08/2020,ALL MEDICAL SUPPLIES,,,
Freeda Violet Napkin,1.0,25.0,10/08/2020,HYGIENE,,,
Chromic 3.0 Cutting,1.0,420.0,10/08/2020,ALL MEDICAL SUPPLIES,,,
Medical Tape (medium),1.0,55.0,10/08/2020,ALL MEDICAL SUPPLIES,,,
Ascorbic Acid 500mg,10.0,50.0,10/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Ascof Forte Lagundi 600mg,10.0,50.0,10/08/2020,HERBAL MEDICINES,,,
Tawas,2.0,24.0,10/08/2020,HYGIENE,,,
Mefenamic Acid (generic),3.0,9.0,10/08/2020,PAIN RELIEVERS,,,
Saridon,4.0,28.0,10/08/2020,PAIN RELIEVERS,,,
Gauze (large),1.0,6.0,10/08/2020,ALL MEDICAL SUPPLIES,,,
Povidone Iodine 15 mL,1.0,20.0,10/08/2020,ALL MEDICAL SUPPLIES,,,
Cloud 9,1.0,10.0,11/08/2020,FOODS,,,
Hello Chocolate,1.0,6.0,11/08/2020,FOODS,,,
Cottonbuds (small pack),1.0,10.0,11/08/2020,ALL MEDICAL SUPPLIES,,,
Fiona Cologne,1.0,35.0,11/08/2020,COSMETICS,,,
Toothbrush,1.0,15.0,11/08/2020,HYGIENE,,,
Alcohol 250mL,2.0,130.0,11/08/2020,ALL MEDICAL SUPPLIES,,,
Rexona Deodorant,1.0,70.0,11/08/2020,HYGIENE,,,
Povidone Iodine 15 mL,1.0,25.0,11/08/2020,ALL MEDICAL SUPPLIES,,,
Tempra Drops 0-12 months 15mL,1.0,89.0,11/08/2020,PEDIA BOTTLES,,,
Diatabs 2mg,2.0,20.0,11/08/2020,GASTRO DRUGS,,,
Tissue Roll,1.0,15.0,11/08/2020,HYGIENE,,,
Efficascent Oil 50 mL,1.0,70.0,11/08/2020,GALENICALS,,,
Biogesic 500mg,2.0,10.0,11/08/2020,PAIN RELIEVERS,,,
Toothbrush,2.0,30.0,12/08/2020,HYGIENE,,,
Nipple (small),2.0,20.0,12/08/2020,BABY PRODUCTS,,,
Alcohol 60mL,1.0,20.0,12/08/2020,ALL MEDICAL SUPPLIES,,,
Alaxan FR 400mg,3.0,30.0,12/08/2020,PAIN RELIEVERS,,,
Alcohol 500mL,1.0,95.0,12/08/2020,ALL MEDICAL SUPPLIES,,,
Biogesic 500mg,2.0,10.0,12/08/2020,PAIN RELIEVERS,,,
Neozep,2.0,14.0,12/08/2020,RESPIRATORY,,,
Mefenamic Acid (generic),2.0,6.0,12/08/2020,PAIN RELIEVERS,,,
Hivent Salbutamol Ampoule 2.5mL,2.0,30.0,12/08/2020,RESPIRATORY,,,
Enervon,1.0,10.0,12/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Ascorbic Acid 500mg,2.0,10.0,12/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Hand Sanitizer,1.0,55.0,13/08/2020,HYGIENE,,,
Diatabs 2mg,1.0,20.0,13/08/2020,GASTRO DRUGS,,,
Face Mask (Box),1.0,500.0,13/08/2020,ALL MEDICAL SUPPLIES,,,
Alcohol 500mL,1.0,95.0,13/08/2020,ALL MEDICAL SUPPLIES,,,
Mefenamic Acid (generic),4.0,12.0,13/08/2020,PAIN RELIEVERS,,,
Amoxicillin 500mg,4.0,20.0,13/08/2020,ANTIBIOTICS,,,
Bioflu 10mg/2mg/500mg,3.0,30.0,13/08/2020,PAIN RELIEVERS,,,
Efficascent Oil 25 mL,1.0,40.0,13/08/2020,GALENICALS,,,
Skyflakes,1.0,6.0,14/08/2020,FOODS,,,
BL Cream,2.0,70.0,14/08/2020,CREAM AND OINTMENTS,,,
Lagundi Tablet,6.0,48.0,14/08/2020,HERBAL MEDICINES,,,
Face Mask,1.0,10.0,14/08/2020,ALL MEDICAL SUPPLIES,,,
Salonpas Patch,6.0,60.0,14/08/2020,PAIN RELIEVERS,,,
Nipple (small),1.0,10.0,14/08/2020,BABY PRODUCTS,,,
Mefenamic Acid (generic),5.0,15.0,14/08/2020,PAIN RELIEVERS,,,
Amoxicillin 500mg,10.0,50.0,14/08/2020,ANTIBIOTICS,,,
Efficascent Oil 25 mL,1.0,40.0,14/08/2020,GALENICALS,,,
Cetirizine 10mg,10.0,25.0,14/08/2020,ANTIHISTAMINES,,,
Alaxan FR 400mg,10.0,100.0,14/08/2020,PAIN RELIEVERS,,,
Biogesic 500mg,20.0,100.0,14/08/2020,PAIN RELIEVERS,,,
Enervon,1.0,10.0,14/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Ambroxol Syrup 60mL,1.0,53.0,14/08/2020,RESPIRATORY,,,
Hivent Salbutamol Ampoule 2.5mL,1.0,15.0,15/08/2020,RESPIRATORY,,,
Tiki-tiki Star Syrup 60mL,1.0,73.0,15/08/2020,PEDIA BOTTLES,,,
Aceite De Manzanilla 15mL,1.0,12.0,15/08/2020,GALENICALS,,,
Sodium Ascorbate,10.0,60.0,15/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Multigo Multivitamins + Iron,20.0,120.0,15/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Buscopan 10mg,2.0,60.0,15/08/2020,GASTRO DRUGS,,,
Mefenamic Acid (generic),13.0,39.0,15/08/2020,PAIN RELIEVERS,,,
Biogesic Syrup 60mL,1.0,97.0,15/08/2020,PAIN RELIEVERS,,,
Bioflu 10mg/2mg/500mg,2.0,20.0,15/08/2020,PAIN RELIEVERS,,,
Biogesic 500mg,4.0,20.0,15/08/2020,PAIN RELIEVERS,,,
Diatabs 2mg,1.0,10.0,15/08/2020,GASTRO DRUGS,,,
Shampoo (Sachet),1.0,6.0,15/08/2020,HYGIENE,,,
Cotrimoxazole 480mg,3.0,15.0,15/08/2020,ANTIBIOTICS,,,
Efficascent Oil Xtreme 25 mL,1.0,50.0,15/08/2020,GALENICALS,,,
Vicks VapoRub (small),1.0,32.0,15/08/2020,GALENICALS,,,
Amoxicillin 500mg,5.0,25.0,15/08/2020,ANTIBIOTICS,,,
Kremil-S,2.0,19.0,15/08/2020,GASTRO DRUGS,,,
Biogesic 500mg,10.0,50.0,15/08/2020,PAIN RELIEVERS,,,
Myra-E,3.0,42.0,15/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Cefalexin 500mg,3.0,24.0,15/08/2020,ANTIBIOTICS,,,
Shampoo (Sachet),1.0,6.0,15/08/2020,HYGIENE,,,
Lagundi Tablet,5.0,40.0,16/08/2020,HERBAL MEDICINES,,,
BL Cream,2.0,70.0,16/08/2020,CREAM AND OINTMENTS,,,
Losartan 50mg,10.0,40.0,16/08/2020,ALL HYPERTENSION,,,
Kremil-S,5.0,48.0,16/08/2020,GASTRO DRUGS,,,
Salonpas Patch,2.0,20.0,16/08/2020,PAIN RELIEVERS,,,
Skyflakes,2.0,16.0,16/08/2020,FOODS,,,
Toothbrush,1.0,15.0,16/08/2020,HYGIENE,,,
Cottonbuds (small pack),1.0,10.0,16/08/2020,ALL MEDICAL SUPPLIES,,,
Biogesic 500mg,5.0,25.0,16/08/2020,PAIN RELIEVERS,,,
Alcohol 500mL,1.0,95.0,16/08/2020,ALL MEDICAL SUPPLIES,,,
Amoxicillin 500mg,14.0,70.0,16/08/2020,ANTIBIOTICS,,,
Alcohol 250mL,1.0,65.0,16/08/2020,ALL MEDICAL SUPPLIES,,,
Gauze (large),2.0,12.0,16/08/2020,ALL MEDICAL SUPPLIES,,,
Ketoconazole,1.0,100.0,16/08/2020,CREAM AND OINTMENTS,,,
Multigo Multivitamins + Iron,10.0,60.0,16/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
BL Cream,1.0,35.0,16/08/2020,CREAM AND OINTMENTS,,,
Bioflu 10mg/2mg/500mg,4.0,40.0,16/08/2020,PAIN RELIEVERS,,,
Strepsils 8pcs,1.0,80.0,16/08/2020,RESPIRATORY,,,
Cefalexin 500mg,4.0,32.0,16/08/2020,ANTIBIOTICS,,,
Neobloc 50mg,3.0,18.0,16/08/2020,ALL HYPERTENSION,,,
Tawas (branded),1.0,55.0,16/08/2020,HYGIENE,,,
Efficascent Oil 50 mL,1.0,60.0,16/08/2020,GALENICALS,,,
Nipple (small),2.0,20.0,16/08/2020,BABY PRODUCTS,,,
Alaxan FR 400mg,1.0,10.0,16/08/2020,PAIN RELIEVERS,,,
Solmux,2.0,24.0,16/08/2020,RESPIRATORY,,,
Nipple (small),2.0,20.0,17/08/2020,BABY PRODUCTS,,,
Salonpas Patch,2.0,16.0,17/08/2020,PAIN RELIEVERS,,,
Amoxicillin 500mg,21.0,105.0,17/08/2020,ANTIBIOTICS,,,
Agua Oxinada,1.0,15.0,17/08/2020,PAIN RELIEVERS,,,
Mefenamic Acid (generic),4.0,12.0,17/08/2020,PAIN RELIEVERS,,,
Pharex Vit.B Complex,2.0,10.0,17/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Dolfenal 500mg,2.0,52.0,17/08/2020,PAIN RELIEVERS,,,
Solmux,1.0,12.0,17/08/2020,RESPIRATORY,,,
Candy,1.0,7.0,18/08/2020,FOODS,,,
Candy,2.0,14.0,18/08/2020,FOODS,,,
Mefenamic Acid (generic),3.0,9.0,18/08/2020,PAIN RELIEVERS,,,
Amoxicillin 500mg,2.0,10.0,18/08/2020,ANTIBIOTICS,,,
Gauze (large),2.0,12.0,18/08/2020,ALL MEDICAL SUPPLIES,,,
Salonpas Patch,2.0,16.0,18/08/2020,PAIN RELIEVERS,,,
Mefenamic Acid (generic),1.0,3.0,18/08/2020,PAIN RELIEVERS,,,
Katinko Ointment,1.0,35.0,18/08/2020,GALENICALS,,,
Alcohol 60mL,1.0,22.0,18/08/2020,ALL MEDICAL SUPPLIES,,,
BL Cream,1.0,35.0,18/08/2020,CREAM AND OINTMENTS,,,
Trust Pills 75mg,1.0,50.0,18/08/2020,CONTRACEPTIVES,,,
Spray Bottle,1.0,35.0,18/08/2020,ALL MEDICAL SUPPLIES,,,
Cottonbuds (small pack),1.0,10.0,18/08/2020,ALL MEDICAL SUPPLIES,,,
Baby Wipes,1.0,25.0,18/08/2020,BABY PRODUCTS,,,
Bioflu 10mg/2mg/500mg,2.0,20.0,18/08/2020,PAIN RELIEVERS,,,
Povidone Iodine 15 mL,1.0,25.0,18/08/2020,ALL MEDICAL SUPPLIES,,,
Flanax 550mg,2.0,52.0,18/08/2020,PAIN RELIEVERS,,,
Erythromycin 500mg,3.0,30.0,19/08/2020,ANTIBIOTICS,,,
Alcohol 500mL,2.0,190.0,19/08/2020,ALL MEDICAL SUPPLIES,,,
White Flower 1.5mL,1.0,30.0,19/08/2020,GALENICALS,,,
Hivent Salbutamol Ampoule 2.5mL,3.0,45.0,19/08/2020,RESPIRATORY,,,
Alcohol 250mL,1.0,65.0,19/08/2020,ALL MEDICAL SUPPLIES,,,
Pacifier,1.0,20.0,19/08/2020,BABY PRODUCTS,,,
Medicol Advance 200mg,4.0,34.0,19/08/2020,PAIN RELIEVERS,,,
Shampoo (Sachet),1.0,6.0,19/08/2020,HYGIENE,,,
Co-amoxiclav 625mg,6.0,120.0,19/08/2020,ANTIBIOTICS,,,
Mefenamic Acid (generic),3.0,9.0,19/08/2020,PAIN RELIEVERS,,,
Amoxicillin 500mg,2.0,10.0,19/08/2020,ANTIBIOTICS,,,
Alaxan FR 400mg,1.0,10.0,19/08/2020,PAIN RELIEVERS,,,
Biogesic Syrup 60mL,1.0,97.0,19/08/2020,PAIN RELIEVERS,,,
Solmux,4.0,48.0,19/08/2020,RESPIRATORY,,,
Flanax 550mg,1.0,26.0,19/08/2020,PAIN RELIEVERS,,,
Dolfenal 500mg,4.0,104.0,19/08/2020,PAIN RELIEVERS,,,
Katinko Ointment,1.0,35.0,19/08/2020,GALENICALS,,,
Flanax 550mg,2.0,52.0,19/08/2020,PAIN RELIEVERS,,,
Efficascent Oil 50 mL,1.0,60.0,19/08/2020,GALENICALS,,,
Biogesic 500mg,2.0,10.0,19/08/2020,PAIN RELIEVERS,,,
Medicol Advance 200mg,2.0,17.0,19/08/2020,PAIN RELIEVERS,,,
Vicks VapoRub (small),1.0,32.0,19/08/2020,GALENICALS,,,
Finger Cheese,1.0,15.0,20/08/2020,FOODS,,,
Flanax 550mg,1.0,26.0,20/08/2020,PAIN RELIEVERS,,,
Mefenamic Acid Ritemed 500mg,2.0,14.0,20/08/2020,PAIN RELIEVERS,,,
Cottonbuds (small pack),1.0,10.0,20/08/2020,ALL MEDICAL SUPPLIES,,,
Cetirizine 10mg,10.0,25.0,20/08/2020,ANTIHISTAMINES,,,
Amoxicillin 500mg,10.0,50.0,20/08/2020,ANTIBIOTICS,,,
Mefenamic Acid (generic),10.0,30.0,20/08/2020,PAIN RELIEVERS,,,
Baby Wipes,1.0,25.0,20/08/2020,BABY PRODUCTS,,,
Hivent Salbutamol Ampoule 2.5mL,1.0,15.0,20/08/2020,RESPIRATORY,,,
Celecoxib 200mg,1.0,7.0,20/08/2020,PAIN RELIEVERS,,,
Ascorbic Acid 500mg,2.0,10.0,20/08/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Mefenamic Acid (generic),4.0,12.0,20/08/2020,PAIN RELIEVERS,,,
Medicol Advance 200mg,2.0,17.0,20/08/2020,PAIN RELIEVERS,,,
Face Mask,2.0,20.0,20/08/2020,ALL MEDICAL SUPPLIES,,,
Alaxan FR 400mg,4.0,40.0,20/08/2020,PAIN RELIEVERS,,,
Omega 60 mL,1.0,80.0,20/08/2020,GALENICALS,,,
Bioflu 10mg/2mg/500mg,2.0,20.0,20/08/2020,PAIN RELIEVERS,,,
Kremil-S,2.0,20.0,20/08/2020,GASTRO DRUGS,,,
